# Release Date  : 20231205073428
# Start Field Description
# Dot#        4-character identifier for a given station
# Name        16-character station name
# Ref_epoch   Date and time at which the station position is as given in ref_XYZ and ref_NEU. Format is YYYYMMDDhhmmss.
# Ref_jday    Reference epoch, represented as Modified Julian day
# Ref_X       Reference X coordinate at Ref_epoch, meters
# Ref_Y       Reference Y coordinate at Ref_epoch, meters
# Ref_Z       Reference Z coordinate at Ref_epoch, meters
# Ref_Nlat    Reference North latitude WGS-84 ellipsoid, decimal degrees
# Ref_Elong   Reference East Longitude WGS-84 ellipsoid, decimal degrees
# Ref_Up      Reference Height  WGS-84 ellipsoid, meters 
# dX/dt       X component of station velocity, meters/yr
# dY/dt       Y component of station velocity, meters/yr
# dZ/dt       Z component of station velocity, meters/yr
# SXd         Standard deviation of X velocity, meters/yr
# SYd         Standard deviation of Y velocity,  meters/yr
# SZd         Standard deviation of Z velocity,  meters/yr
# Rxy         Correlation of X and Y velocity
# Rxz         Correlation of X and Z velocity
# Ryz         Correlation of Y and Z velocity, 
# dN/dt       North component of station velocity, meters/yr
# dE/dt       East component of station velocity, meters/yr
# dU/dt       Vertical component of station velocity, meters/yr
# SNd         Standard deviation of North velocity, meters/yr
# SEd         Standard deviation of East velocity, meters/yr
# SUd         Standard deviation of vertical velocity, meters/yr
# Rne         Correlation of North and East velocity
# Rnu         Correlation of North and vertical velocity
# Reu         Correlation of East and vertical velocity
# first_epoch Epoch of first data used to derive the station velocity, in the same format as ref_epoch.
# last_epoch  Epoch of last data used to derive the station velocity, in the same format as ref_epoch.
# End Field Description 
#Dot#,Type,Ref_epoch,Ref_jday,Ref_X,Ref_Y,Ref_Z,Ref_Nlat,Ref_Elong,Ref_Up,dX/dt,dY/dt,dZ/dt,SXd,SYd,SZd,Rxy,Rxz,Rzy,dN/dt,dE/dt,dU/dt,SNd,SEd,SUd,Rne,Rnu,Reu,first_epoch,last_epoch,n_observations
0149,survey,19921019130000,48914.5417,-2487847.13629,-4661004.14440,3561391.74061,34.1613791809,241.9085837672,211.67076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02471,-0.02704,0.00869,0.00273,0.00259,0.00933,-0.000,NaN,NaN,19921016130000,19941027120000,7
0152,survey,19921015130000,48910.5417,-2507683.73016,-4660144.04826,3548326.20533,34.0203176287,241.7147311194,20.51303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03115,-0.03112,-0.00169,0.00311,0.00300,0.00966,-0.000,NaN,NaN,19921014130000,19941009120000,6
0153,survey,19990624130000,51353.5417,-2497165.37900,-4662846.40410,3552309.38820,34.0631642115,241.8289344606,100.78209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02458,-0.02868,0.00372,0.00065,0.00060,0.00310,-0.000,NaN,NaN,19921015130000,19990624130000,10
0174,survey,19930222140000,49040.5833,-2369129.25419,-4742220.79825,3535111.68239,33.8758615286,243.4541010667,159.60633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930222140000,19930222140000,1
0175,survey,19930222140000,49040.5833,-2368003.22831,-4740188.92733,3538653.25053,33.9140320953,243.4551741945,208.14913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930222140000,19930222140000,1
0180,survey,19930224140000,49042.5833,-2348944.61810,-4752431.29452,3535071.53526,33.8747493925,243.6985778528,271.33273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0181,survey,19930224140000,49042.5833,-2350024.29551,-4753244.61770,3533132.29719,33.8541663870,243.6920132084,193.43564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01296,-0.01404,0.00669,0.00111,0.00106,0.00198,-0.000,NaN,NaN,19930224140000,20150329120000,13
0182,survey,19930224140000,49042.5833,-2350371.51434,-4754123.00135,3531640.22572,33.8382680398,243.6928563305,144.17883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0183,survey,19930224140000,49042.5833,-2350974.43937,-4754281.74549,3530974.16947,33.8312244759,243.6877776389,113.49403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0184,survey,19930224140000,49042.5833,-2351578.59860,-4754285.90340,3530538.95230,33.8266021325,243.6819474553,96.78443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01434,-0.01362,0.00522,0.00137,0.00128,0.00201,-0.000,NaN,NaN,19930224140000,20150328120000,9
0185,survey,19930224140000,49042.5833,-2352479.20143,-4754294.34011,3529876.84870,33.8196012064,243.6732684000,66.28073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0187,survey,19930224140000,49042.5833,-2362237.83953,-4754429.41218,3523172.33000,33.7470239786,243.5795200361,41.81563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0189,survey,19930223150000,49041.6250,-2338583.04155,-4766354.74381,3522930.52702,33.7441068536,243.8654021778,90.86093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0190,survey,19930223150000,49041.6250,-2342642.14770,-4768200.30122,3517508.69387,33.6862040147,243.8348682555,-52.54247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0191,survey,19930223150000,49041.6250,-2343095.19803,-4765263.33677,3521196.65835,33.7260519842,243.8165071083,-32.42597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0192,survey,19930223150000,49041.6250,-2346236.39886,-4763664.16584,3521261.88786,33.7267806620,243.7784780111,-36.01106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0194,survey,19930225140000,49043.5833,-2350002.61817,-4764901.30163,3517120.70351,33.6818389398,243.7479365861,-25.71167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930225140000,19930225140000,1
0195,survey,19930223150000,49041.6250,-2341030.99317,-4762867.15036,3525958.92075,33.7770833870,243.8250908027,68.31484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
02NE,survey,19990325120000,51262.5000,-2318057.28461,-4797844.09450,3493550.98399,33.4270527861,244.2126933277,-61.14008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00927,-0.01125,-0.00186,0.00138,0.00141,0.00492,-0.000,NaN,NaN,19990325120000,20030604120000,3
0370,survey,19930720140000,49188.5833,-2510014.95839,-4636454.77120,3579431.99471,34.3522426970,241.5704305028,1169.70920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02657,0.00743,0.02647,0.00719,0.00705,0.01095,-0.000,NaN,NaN,19920413130000,19940216120000,7
0435,survey,20000515130000,51679.5417,-2428596.32406,-4715450.06122,3531079.32555,33.8304630342,242.7501924861,428.39263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03260,-0.02419,0.00013,0.00189,0.00177,0.00871,-0.000,NaN,NaN,19980611140000,20000515130000,6
04AL,survey,20050723120000,53574.5000,-2680848.20668,-4345259.37056,3809786.66207,36.9142840648,238.3271029278,-8.67716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03110,-0.02872,-0.00031,0.00118,0.00100,0.00480,-0.000,NaN,NaN,20020818120000,20050724120000,4
0501,survey,20011105120000,52218.5000,-2602097.51639,-4579389.23420,3585020.51371,34.4204631022,240.3939242094,5.97154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02917,-0.03246,0.00170,0.00012,0.00011,0.00045,-0.001,NaN,NaN,19920612120000,20150528120000,16
0502,survey,20010201120000,51941.5000,-2657527.19191,-4539533.53030,3595208.37891,34.5310236650,239.6545019111,142.41546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03472,-0.03408,0.00471,0.00037,0.00036,0.00188,-0.000,NaN,NaN,19930320120000,20010201120000,8
0504,survey,20031102120000,52945.5000,-2602484.99070,-4537278.34750,3638445.33110,35.0030558387,240.1623475742,524.25092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02894,-0.02938,0.00138,0.00012,0.00011,0.00051,-0.001,NaN,NaN,19920616120000,20110313120000,19
0505,survey,20010201120000,51941.5000,-2658546.68270,-4498184.08880,3645536.34730,35.0842372770,239.4157808748,31.45589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03525,-0.03309,0.00210,0.00030,0.00027,0.00140,-0.000,NaN,NaN,19930320120000,20011107120000,9
0506,survey,19940315150000,49426.6250,-2625666.55683,-4491308.97843,3678229.29765,35.4423775148,239.6889937445,462.09994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03129,-0.02167,-0.00153,0.00203,0.00271,0.00824,-0.000,NaN,NaN,19940315150000,19940315150000,1
0507,survey,20040714140000,53200.5833,-2679251.83760,-4453876.91001,3684281.83729,35.5122355459,238.9707782467,15.07198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04578,-0.02657,-0.00296,0.00178,0.00196,0.00265,-0.000,NaN,NaN,19940303150000,20040715120000,4
0508,survey,20030116120000,52655.5000,-2650054.01250,-4445627.38879,3715219.35501,35.8547856892,239.2006826361,128.15756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03499,-0.02996,0.00080,0.00036,0.00035,0.00144,-0.000,NaN,NaN,19930315130000,20050721120000,16
0509,survey,20040714140000,53200.5833,-2698442.35250,-4406154.70999,3727706.30300,35.9922334787,238.5156267264,360.47786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03720,-0.03157,-0.00133,0.00030,0.00028,0.00113,-0.000,NaN,NaN,19940302160000,20040715120000,7
0510,survey,20040717120000,53203.5000,-2640304.05561,-4426322.63569,3745291.33270,36.1883155350,239.1838986950,364.04937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03357,-0.03122,0.00067,0.00046,0.00046,0.00176,-0.000,NaN,NaN,19980707120000,20050721120000,23
0512,survey,20020823120000,52509.5000,-2671298.13877,-4389535.22082,3765839.48353,36.4203218453,238.6769539500,27.02264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03714,-0.03021,0.00270,0.00061,0.00082,0.00278,-0.000,NaN,NaN,20020821120000,20020823120000,2
0513,survey,20041113120000,53322.5000,-2692019.67858,-4350192.62171,3796316.40570,36.7627390871,238.2496304584,-26.44876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03499,-0.03082,0.00057,0.00032,0.00029,0.00136,-0.000,NaN,NaN,19960620120000,20041114120000,10
0515,survey,20011107120000,52220.5000,-2578850.84950,-4563298.23560,3623359.56830,34.8352374795,240.5279619378,841.47405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02352,-0.02581,-0.00105,0.00182,0.00149,0.00728,-0.000,NaN,NaN,20011107120000,20040927120000,2
05HK,survey,20040714140000,53200.5833,-2659353.17679,-4483992.72254,3662248.47183,35.2686413037,239.3287931334,13.53854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03596,-0.03077,0.00589,0.00036,0.00031,0.00162,-0.000,NaN,NaN,20040713120000,20110311120000,13
05NE,survey,20010209120000,51949.5000,-2313652.14640,-4799970.74169,3493553.80631,33.4270703670,244.2652915800,-58.97090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00217,-0.01290,-0.01051,0.00097,0.00093,0.00376,-0.000,NaN,NaN,19951230120000,20030604120000,4
05QJ,survey,20040729120000,53215.5000,-2653011.38191,-4436772.08470,3723644.36099,35.9484597603,239.1222726139,137.68038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03237,-0.04182,-0.01196,0.00204,0.00198,0.00674,-0.000,NaN,NaN,20030116120000,20050721120000,19
05SK,survey,20030114120000,52653.5000,-2631128.98860,-4432873.84170,3744540.07130,36.1778596887,239.3087818734,677.84983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00423,-0.00667,-0.00018,0.00141,0.00132,0.00462,-0.000,NaN,NaN,20030114120000,20050721120000,19
05TH,survey,20030114120000,52653.5000,-2646823.36219,-4415414.78830,3753296.06771,36.2785448689,239.0593918514,242.90777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03464,-0.02801,0.00270,0.00475,0.00473,0.00635,-0.000,NaN,NaN,20030114120000,20070323120000,2
05UH,survey,20030115120000,52654.5000,-2646803.99060,-4405637.96780,3765192.41690,36.4097148540,239.0035390947,532.67516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01073,-0.01582,-0.00144,0.00104,0.00094,0.00429,-0.000,NaN,NaN,20020819120000,20041107120000,10
05VH,survey,20041102120000,53311.5000,-2650120.19640,-4397526.57100,3772128.08200,36.4880414918,238.9252016348,437.81002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01489,-0.01522,-0.00286,0.00099,0.00092,0.00374,-0.000,NaN,NaN,20020819120000,20041103120000,7
05WF,survey,20041113120000,53322.5000,-2657875.07643,-4376511.44883,3790537.83240,36.6962581453,238.7295020000,198.26063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02047,-0.01971,-0.00204,0.00051,0.00046,0.00231,-0.000,NaN,NaN,19970621120000,20041114120000,6
05WG,survey,20041113120000,53322.5000,-2655629.74525,-4387741.68615,3779549.55340,36.5714265093,238.8160636611,413.67154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03618,-0.03121,-0.00735,0.00057,0.00052,0.00259,-0.000,NaN,NaN,19970622120000,20041113120000,5
05YC,survey,20020822120000,52508.5000,-2684779.37318,-4352501.71854,3798815.58980,36.7907104315,238.3322239472,-4.89646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03536,-0.03237,0.00500,0.00052,0.00047,0.00241,-0.000,NaN,NaN,19960620120000,20020822120000,8
05YF,survey,19990811130000,51401.5417,-2658633.43658,-4368467.85539,3799093.56743,36.7929634981,238.6754602444,124.91704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01390,-0.01420,0.00149,0.00039,0.00035,0.00173,-0.000,NaN,NaN,19960820120000,20041114120000,10
0605,survey,19980708130000,51002.5417,-2490396.13428,-4471128.58034,3794443.70172,36.7376712731,240.8824130250,569.13284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01288,-0.00957,-0.00709,0.00108,0.00120,0.00433,-0.000,NaN,NaN,19980708130000,19980713130000,4
0606,survey,20010605120000,52065.5000,-2541281.54940,-4444928.32341,3790646.30579,36.6984367800,240.2422692970,55.38565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01076,-0.01294,-0.00158,0.00015,0.00014,0.00064,-0.001,NaN,NaN,19930403120000,20140113120000,7
0607,survey,19980709140000,51003.5833,-2593993.36790,-4429524.13786,3773069.53240,36.5010685842,239.6461435250,66.68173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01079,-0.00746,0.00298,0.00093,0.00164,0.00436,-0.000,NaN,NaN,19980707120000,19980709140000,3
0609,survey,19980709140000,51003.5833,-2517957.23440,-4489179.75801,3754152.18139,36.2892800267,240.7121631075,66.92422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01189,-0.01444,-0.01508,0.00061,0.00057,0.00224,-0.000,NaN,NaN,19930331120000,19980709140000,5
0612,survey,19940309150000,49420.6250,-2592390.43105,-4472434.12690,3723767.33223,35.9494903620,239.9018118472,189.45503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01671,-0.01368,-0.00624,0.00230,0.00239,0.00815,-0.000,NaN,NaN,19940309150000,19940309150000,1
0613,survey,20031018120000,52930.5000,-2530703.46751,-4517228.44610,3711964.42029,35.8190663062,240.7409826372,56.57435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01225,-0.01507,-0.00337,0.00029,0.00028,0.00099,-0.000,NaN,NaN,19930329120000,20031021120000,7
0614,survey,20030615130000,52805.5417,-2480457.38871,-4551799.35459,3706128.81251,35.7450116392,241.4122679633,1477.80365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01089,-0.01331,0.00106,0.00009,0.00009,0.00032,-0.001,NaN,NaN,19930814120000,20140314120000,74
0616,survey,19940310150000,49421.6250,-2545588.27861,-4549722.66560,3662107.35448,35.2667812561,240.7728100727,60.94457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01398,-0.01750,-0.00307,0.00014,0.00013,0.00055,-0.001,NaN,NaN,19921029120000,20100305120000,11
0617,survey,19940315150000,49426.6250,-2497600.48560,-4576122.06180,3663044.32179,35.2742223898,241.3747407872,516.26700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01300,-0.01609,0.00109,0.00014,0.00013,0.00056,-0.001,NaN,NaN,19921027120000,20100327120000,13
0618,survey,19921112130000,48938.5417,-2531011.42390,-4590951.92920,3622582.91380,34.8252220578,241.1318640067,1078.74334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01972,-0.02308,0.00323,0.00059,0.00057,0.00212,-0.000,NaN,NaN,19920617120000,19990729120000,16
0650,survey,19940621120000,49524.5000,-2546408.57760,-4612156.80161,3583201.19339,34.3999358072,241.0965606756,110.95010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19940621120000,20140717120000,2
0653,survey,19940804120000,49568.5000,-2548663.56121,-4619134.15119,3572674.47441,34.2849760301,241.1117469547,115.93776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03048,-0.03129,0.00208,0.00016,0.00016,0.00067,-0.001,NaN,NaN,19940621120000,20140719120000,7
0654,survey,19940621120000,49524.5000,-2543801.26730,-4621562.61130,3573077.61560,34.2890955312,241.1707267472,161.33780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03021,-0.03132,0.00051,0.00022,0.00021,0.00100,-0.000,NaN,NaN,19940621120000,20140718120000,3
0657,survey,19940624120000,49527.5000,-2529678.69041,-4631349.34370,3570873.90980,34.2635849448,241.3562929792,400.63325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19940621120000,20140718120000,6
0660,survey,19980618130000,50982.5417,-2515450.64501,-4677007.16640,3520624.23839,33.7198470192,241.7271520086,-32.41335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03242,-0.03139,0.00815,0.00056,0.00055,0.00296,-0.000,NaN,NaN,19921015130000,19980618130000,10
0661,survey,19940624120000,49527.5000,-2529942.20530,-4640145.16889,3559355.91001,34.1379498834,241.3994961789,416.63036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02963,-0.03129,0.00200,0.00022,0.00020,0.00119,-0.000,NaN,NaN,19940623120000,20140719120000,4
0682,survey,19940701120000,49534.5000,-2550667.36141,-4623110.33290,3566247.30499,34.2145096106,241.1135531650,176.59521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02958,-0.03204,0.00214,0.00022,0.00022,0.00105,-0.000,NaN,NaN,19940701120000,20140718120000,3
0685,survey,19940701120000,49534.5000,-2537417.44580,-4635137.11550,3560183.69340,34.1482290576,241.3023396439,210.04098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03070,-0.03036,0.00370,0.00029,0.00027,0.00154,-0.000,NaN,NaN,19940701120000,20140718120000,3
